ts,battery_level_pct
1467185768,92
1467185768,92
1467185769,92
1467185770,92
1467185771,92
1467185772,92
1467185773,92
1467186008,92
1467186008,92
1467186015,92
1467186015,92
1467186072,92
1467186072,92
1467186098,92
1467186100,92
1467186204,92
1467186206,92
1467186206,92
1467186206,92
1467186206,92
1467186208,92
1467186568,92
1467186568,92
1467186570,92
1467186570,92
1467186570,92
1467186570,92
1467186570,92
1467186672,92
1467186672,92
1467186680,92
1467186681,92
1467186810,92
1467186810,92
1467187272,92
1467187272,92
1467187377,92
1467187377,92
1467187843,92
1467187843,92
1467187872,92
1467187872,92
1467188004,92
1467188006,92
1467188006,92
1467188008,92
1467188250,92
1467188250,92
1467188252,92
1467188252,92
1467188252,92
1467188399,92
1467188400,92
1467188472,92
1467188472,92
1467189072,92
1467189072,92
1467189122,92
1467189122,92
1467189510,92
1467189510,92
1467189511,92
1467189511,92
1467189600,92
1467189602,92
1467189672,92
1467189672,92
1467189792,92
1467189807,92
1467189813,92
1467189815,92
1467189817,92
1467189904,92
1467189906,92
1467189931,92
1467189931,92
1467189931,92
1467189931,92
1467189931,92
1467189931,92
1467190056,92
1467190057,92
1467190273,92
1467190273,92
1467190872,92
1467190872,92
1467190872,92
1467190977,92
1467190977,92
1467191016,92
1467191016,92
1467191106,92
1467191108,92
1467191472,92
1467191472,92
1467191605,92
1467191607,92
1467191607,92
1467191608,92
1467191613,92
1467191613,92
1467191613,92
1467191613,92
1467191613,92
1467191613,92
1467192073,92
1467192073,92
1467192672,92
1467192672,91
1467192672,91
1467192672,91
1467193025,91
1467193025,91
1467193086,91
1467193086,91
1467193273,91
1467193281,91
1467193282,91
1467193294,91
1467193295,91
1467193295,91
1467193295,91
1467193295,91
1467193295,91
1467193295,91
1467193296,91
1467193296,91
1467193296,91
1467193296,91
1467193297,91
1467193326,91
1467193327,91
1467193328,91
1467193329,91
1467193330,91
1467193394,91
1467193394,91
1467193406,91
1467193406,91
1467193406,91
1467193406,91
1467193407,91
1467193407,91
1467193409,91
1467193535,91
1467193536,91
1467193537,91
1467193537,91
1467193537,91
1467193872,91
1467193872,91
1467194134,91
1467194136,91
1467194473,91
1467194473,91
1467194577,91
1467194577,91
1467194577,91
1467194577,91
1467194906,91
1467194908,91
1467194975,91
1467194975,91
1467194975,91
1467194975,91
1467194975,91
1467194975,91
1467195072,91
1467195072,91
1467195207,91
1467195207,91
1467195209,91
1467195245,91
1467195245,91
1467195335,91
1467195337,91
1467195672,91
1467195672,91
1467196272,91
1467196272,91
1467196656,91
1467196656,91
1467196656,91
1467196656,91
1467196873,91
1467196873,91
1467197007,91
1467197007,91
1467197009,91
1467197473,91
1467197473,91
1467197651,91
1467197651,91
1467197741,91
1467197743,91
1467198073,91
1467198073,91
1467198337,91
1467198337,91
1467198337,91
1467198337,91
1467198337,91
1467198337,91
1467198672,91
1467198672,91
1467198807,91
1467198808,91
1467198810,91
1467198854,91
1467198854,91
1467198945,91
1467198946,91
1467199272,91
1467199272,91
1467199720,91
1467199720,91
1467199723,91
1467199723,91
1467199723,91
1467199723,91
1467199872,91
1467199872,91
1467199882,91
1467199883,91
1467199961,91
1467199961,91
1467199961,91
1467199962,91
1467199963,91
1467200018,91
1467200018,91
1467200019,91
1467200019,91
1467200019,91
1467200019,91
1467200416,91
1467200416,91
1467200472,91
1467200472,91
1467200477,91
1467200477,91
1467200608,91
1467200608,91
1467200609,91
1467200609,91
1467200609,91
1467200609,91
1467200610,91
1467200849,91
1467200849,91
1467200850,91
1467201073,91
1467201073,91
1467201261,91
1467201261,91
1467201351,91
1467201353,91
1467201672,91
1467201672,91
1467201699,91
1467201699,91
1467201699,91
1467201699,91
1467201776,91
1467201776,91
1467202272,91
1467202272,91
1467202409,91
1467202409,91
1467202411,91
1467202872,91
1467202872,91
1467203380,91
1467203380,91
1467203380,91
1467203380,91
1467203380,91
1467203380,91
1467203473,91
1467203473,91
1467204072,91
1467204072,90
1467204072,90
1467204072,90
1467204209,90
1467204209,90
1467204211,90
1467204672,90
1467204672,90
1467205061,90
1467205061,90
