current,start_time,end_time
-4.11E-01,,
-4.11E-01,,
-4.11E-01,,
-4.11E-01,,
-4.11E-01,,
-4.11E-01,,
-4.14E-01,,
-4.12E-01,,
-4.16E-01,,
-4.20E-01,,
-4.17E-01,,
-4.16E-01,,
-4.16E-01,,
-4.17E-01,,
-4.17E-01,,
-4.17E-01,,
-4.17E-01,,
-4.17E-01,,
-4.17E-01,,
-4.18E-01,,
-4.18E-01,,
-4.17E-01,,
-4.18E-01,,
-4.17E-01,,
-4.17E-01,,
-4.17E-01,,
-4.16E-01,,
-4.17E-01,,
-4.16E-01,,
-4.17E-01,,
-4.17E-01,,
-4.17E-01,,
-4.18E-01,,
-4.17E-01,,
-4.21E-01,,
-4.17E-01,,
-4.18E-01,,
-4.18E-01,,
-4.17E-01,,
-4.17E-01,,
-4.17E-01,,
-4.17E-01,,
-4.18E-01,,
-4.21E-01,,
-4.17E-01,,
-4.17E-01,,
-4.20E-01,,
-4.18E-01,,
-4.17E-01,,
-4.17E-01,,
-4.16E-01,,
-4.18E-01,,
-4.18E-01,,
-4.17E-01,,
-4.17E-01,,
-4.17E-01,,
-4.17E-01,,
-4.17E-01,,
-4.17E-01,,
-4.18E-01,,
-4.17E-01,,
-4.17E-01,,
-4.18E-01,,
-4.18E-01,,
-4.17E-01,,
-4.19E-01,,
-4.17E-01,,
-4.18E-01,,
-4.18E-01,,
-4.17E-01,,
-4.18E-01,,
-4.17E-01,,
-4.16E-01,,
-4.18E-01,,
-4.16E-01,,
-4.18E-01,,
-4.18E-01,,
-4.20E-01,,
-4.17E-01,,
-4.18E-01,,
-4.20E-01,,
-4.18E-01,,
-4.17E-01,,
-4.18E-01,,
-4.19E-01,,
-4.18E-01,,
-4.18E-01,,
-4.18E-01,,
-4.17E-01,,
-4.18E-01,,
-4.18E-01,,
-4.18E-01,,
-4.20E-01,,
-4.18E-01,,
-4.20E-01,,
-4.19E-01,,
-4.18E-01,,
-4.18E-01,,
-4.17E-01,,
-4.17E-01,,
-4.17E-01,,
-4.16E-01,,
-4.17E-01,,
-4.17E-01,,
-4.18E-01,,
-4.17E-01,,
-4.18E-01,,
-4.17E-01,,
-4.17E-01,,
-4.18E-01,,
-4.18E-01,,
-4.18E-01,,
-4.21E-01,,
-4.18E-01,,
-4.19E-01,,
-4.18E-01,,
-4.17E-01,,
-4.19E-01,,
-4.18E-01,,
-4.18E-01,,
-4.22E-01,,
-4.17E-01,,
-4.18E-01,,
-4.19E-01,,
-4.18E-01,,
-4.17E-01,,
-4.17E-01,,
-4.18E-01,,
-4.18E-01,,
-4.18E-01,,
-4.18E-01,,
-4.17E-01,,
-4.18E-01,,
-4.18E-01,,
-4.18E-01,,
-4.19E-01,,
-4.19E-01,,
-4.18E-01,,
-4.18E-01,,
-4.19E-01,,
-4.17E-01,,
-4.18E-01,,
-4.18E-01,,
-4.18E-01,,
-4.18E-01,,
-4.20E-01,,
-4.21E-01,,
-4.22E-01,,
-4.20E-01,,
-4.19E-01,,
-4.18E-01,,
-4.17E-01,,
-4.19E-01,,
-4.18E-01,,
-4.18E-01,,
-4.18E-01,,
-4.18E-01,,
-4.18E-01,,
-4.17E-01,,
-4.17E-01,,
-4.17E-01,,
-4.17E-01,,
-4.18E-01,,
-4.19E-01,,
-4.18E-01,,
-4.18E-01,,
-4.19E-01,,
-4.19E-01,,
-4.19E-01,,
-4.19E-01,,
-4.19E-01,,
-4.18E-01,,
-4.19E-01,,
-4.18E-01,,
-4.18E-01,,
-4.19E-01,,
-4.18E-01,,
-4.22E-01,,
-4.19E-01,,
-4.19E-01,,
-4.21E-01,,
-4.19E-01,,
-4.19E-01,,
-4.19E-01,,
-4.19E-01,,
-4.19E-01,,
-4.19E-01,,
-4.18E-01,,
-4.18E-01,,
-4.19E-01,,
-4.18E-01,,
-4.18E-01,,
-4.20E-01,,
-4.19E-01,,
-4.18E-01,,
-4.18E-01,,
-4.18E-01,,
-4.19E-01,,
-4.20E-01,,
-4.19E-01,,
-4.19E-01,,
-4.18E-01,,
-4.19E-01,,
-4.18E-01,,
-4.19E-01,,
-4.19E-01,,
-4.22E-01,,
-4.18E-01,,
-4.18E-01,,
-4.19E-01,,
-4.18E-01,,
-4.19E-01,,
-4.19E-01,,
-4.19E-01,,
-4.19E-01,,
-4.20E-01,,
-4.18E-01,,
-4.20E-01,,
-4.18E-01,,
-4.18E-01,,
-4.18E-01,,
-4.19E-01,,
-4.19E-01,,
-4.19E-01,,
-4.18E-01,,
-4.19E-01,,
-4.19E-01,,
-4.18E-01,,
-4.18E-01,,
-4.20E-01,,
-4.17E-01,,
-4.20E-01,,
-4.18E-01,,
-4.19E-01,,
-4.18E-01,,
-4.18E-01,,
-4.19E-01,,
-4.18E-01,,
-4.19E-01,,
-4.19E-01,,
-4.20E-01,,
-4.18E-01,,
-4.19E-01,,
-4.19E-01,,
-4.19E-01,,
-4.19E-01,,
-4.21E-01,,
-4.19E-01,,
-4.19E-01,,
-4.22E-01,,
-4.19E-01,,
-4.19E-01,,
-4.19E-01,,
-4.19E-01,,
-4.19E-01,,
-4.19E-01,,
-4.19E-01,,
-4.19E-01,,
-4.19E-01,,
-4.19E-01,,
-4.19E-01,,
-4.19E-01,,
-4.20E-01,,
-4.21E-01,,
-4.19E-01,,
-4.20E-01,,
-4.21E-01,,
-4.20E-01,,
-4.19E-01,,
-4.19E-01,,
-4.21E-01,,
-4.19E-01,,
-4.19E-01,,
-4.19E-01,,
-4.20E-01,,
-4.19E-01,,
-4.18E-01,,
-4.19E-01,,
-4.19E-01,,
-4.18E-01,,
